Duration_12000
720,17b
7200,17b
7200,41g
7210,29b
7210,48g
7220,46g
7220,17b
7224,48g
7230,29b
7234,43g
7240,17b
7244,44g
7250,29b
7254,48g
7260,17b
7260,46g
7264,44g
7270,29b
7270,43g
7274,41g
7280,17b
7290,48g
7290,29b
730,29b
730,48g
7300,17b
7300,46g
7304,48g
7310,29b
7314,43g
7320,17b
7324,44g
7330,29b
7334,48g
7340,17b
7340,39g
7350,29b
7350,40g
7360,41g
7360,17b
7370,29b
7370,48g
7380,17b
7380,46g
7386,48g
7390,29b
7396,43g
74,29g
740,46g
740,17b
7400,17b
7406,44g
7410,29b
7416,48g
7420,46g
7420,17b
7426,44g
7430,43g
7430,29b
7436,41g
744,48g
7440,17b
7450,48g
7450,29b
7460,46g
7460,17b
7466,48g
7470,29b
7476,43g
7480,17b
7486,44g
7490,29b
7496,48g
750,29b
7500,17b
7500,39g
7510,40g
7510,29b
7520,41g
7520,17b
7530,48g
7530,29b
754,43g
7540,46g
7540,17b
7546,48g
7550,29b
7556,43g
7560,19b
7566,44g
7570,31b
7576,48g
7580,19b
7580,46g
7586,44g
7590,43g
7590,31b
7596,41g
760,17b
7600,20b
7610,32b
7610,48g
7620,22b
7620,46g
7626,48g
7630,34b
7636,51g
764,44g
7640,24b
7646,53g
7650,36b
7656,56g
7660,55g
7660,27b
7666,53g
7670,51g
7670,39b
7680,36g
7680,13b
7690,25b
7690,44g
770,29b
7700,13b
7700,43g
7706,44g
7710,25b
7710,43g
7720,15b
7720,46g
7730,27b
7730,44g
774,48g
7740,15b
7740,43g
7746,44g
7750,27b
7750,43g
7756,39g
7760,17b
7760,41g
7770,29b
7770,48g
7780,46g
7780,17b
7786,48g
7790,46g
7790,29b
7796,48g
780,17b
780,39g
7800,51g
7800,17b
7810,29b
7810,48g
7820,15b
7820,46g
7830,27b
7830,48g
7840,13b
7840,36g
7850,25b
7850,44g
7860,43g
7860,13b
7866,44g
7870,43g
7870,25b
7880,15b
7880,46g
7890,27b
7890,44g
790,29b
790,40g
7900,15b
7900,43g
7906,44g
7910,43g
7910,27b
7916,39g
7920,41g
7920,17b
7930,48g
7930,29b
7940,19b
7940,46g
7946,48g
7950,31b
7950,46g
7956,48g
7960,20b
7960,52g
7970,32b
7970,48g
7980,46g
7980,22b
7990,34b
7990,48g
800,41g
800,17b
8000,13b
8000,36g
8010,44g
8010,25b
8020,43g
8020,13b
8024,44g
8030,43g
8030,25b
8040,46g
8040,15b
8050,27b
8050,44g
8060,43g
8060,15b
8064,44g
8070,27b
8070,43g
8074,39g
8080,41g
8080,17b
8090,48g
8090,29b
810,48g
810,29b
8100,46g
8100,17b
8104,48g
8110,46g
8110,29b
8114,48g
8120,17b
8120,51g
8130,29b
8130,48g
8140,15b
8140,44g
8150,45g
8150,27b
8160,46g
8160,10b
8170,37g
8170,22b
8174,46g
8180,10b
8180,37g
8190,46g
8190,22b
820,46g
820,17b
8200,48g
8200,12b
8210,39g
8210,24b
8214,48g
8220,39g
8220,12b
8230,24b
8230,48g
824,48g
8240,49g
8240,13b
8250,25b
8260,14b
8270,26b
8270,50g
8280,15b
8280,51g
8290,27b
830,29b
8300,15b
8310,27b
8320,13b
8320,36g
8330,25b
8330,44g
834,43g
8340,13b
8340,43g
8344,44g
8350,25b
8350,43g
8360,46g
8360,15b
8370,27b
8370,44g
8380,43g
8380,15b
8384,44g
8390,27b
8390,43g
8394,39g
840,17b
8400,17b
8400,41g
8410,29b
8410,48g
8420,17b
8420,46g
8426,48g
8430,46g
8430,29b
8436,48g
844,44g
8440,51g
8440,17b
8450,29b
8450,48g
8460,46g
8460,15b
8470,27b
8470,48g
8480,36g
8480,13b
8490,25b
8490,44g
850,29b
8500,43g
8500,13b
8506,44g
8510,25b
8510,43g
8520,15b
8520,46g
8530,44g
8530,27b
854,48g
8540,15b
8540,43g
8546,44g
8550,43g
8550,27b
8556,39g
8560,17b
8560,41g
8570,48g
8570,29b
8580,46g
8580,19b
8586,48g
8590,31b
8590,46g
8596,48g
860,17b
860,46g
8600,20b
8600,52g
8610,48g
8610,32b
8620,46g
8620,22b
8630,34b
8630,48g
864,44g
8640,36g
8640,13b
8650,25b
8650,44g
8660,13b
8660,43g
8666,44g
8670,25b
8670,43g
8680,46g
8680,15b
8690,44g
8690,27b
870,43g
870,29b
8700,15b
8700,43g
8706,44g
8710,27b
8710,43g
8716,39g
8720,41g
8720,17b
8730,29b
8730,48g
874,41g
8740,17b
8740,46g
8746,48g
8750,29b
8750,46g
8756,48g
